Date,Open,High,Low,Close,Adj Close,Volume
2013-07-12,11.868333,11.963333,11.811667,11.888333,11.635545,14793000
2013-07-15,11.990000,12.078333,11.928333,12.043333,11.787246,12393000
2013-07-16,12.050000,12.066667,11.798333,11.896667,11.643699,23827800
2013-07-17,12.033333,12.088333,11.933333,11.978333,11.723632,16898400
2013-07-18,12.053333,12.261667,12.035000,12.173333,11.914483,22375200
2013-07-19,12.095000,12.253333,12.058333,12.253333,11.992784,12471000
2013-07-22,12.291667,12.366667,12.210000,12.316667,12.054769,13443600
2013-07-23,12.381667,12.390000,12.216667,12.243333,11.982993,11225400
2013-07-24,12.378333,12.391667,12.026667,12.108333,11.850865,21547200
2013-07-25,12.030000,12.216667,11.973333,12.183333,11.924273,18744000
2013-07-26,12.033333,12.233333,11.878333,12.223333,11.963419,17210400
2013-07-29,12.133333,12.211667,12.006667,12.101667,11.844341,13741800
2013-07-30,12.225000,12.256667,12.025000,12.116667,11.859021,19849800
2013-07-31,12.188333,12.376667,12.085000,12.118333,11.860653,26963400
2013-08-01,12.410000,12.583333,12.386667,12.548333,12.281510,12948600
2013-08-02,12.470000,12.616667,12.418333,12.613333,12.345126,11671800
2013-08-05,12.538333,12.620000,12.486667,12.565000,12.297821,10806600
2013-08-06,12.483333,12.521667,12.266667,12.360000,12.097179,17449800
2013-08-07,12.228333,12.275000,12.086667,12.226667,11.966682,16198200
2013-08-08,12.403333,12.438333,12.168333,12.360000,12.097179,10531800
2013-08-09,12.303333,12.420000,12.120000,12.253333,11.992784,10941000
2013-08-12,12.070000,12.246667,12.046667,12.198333,11.938953,8596800
2013-08-13,12.271667,12.371667,12.053333,12.328333,12.066187,11334000
2013-08-14,12.288333,12.348333,12.116667,12.130000,11.872071,9910200
2013-08-15,11.831667,11.831667,11.551667,11.601667,11.354975,17627400
2013-08-16,11.548333,11.666667,11.430000,11.505000,11.260361,12956400
2013-08-19,11.466667,11.576667,11.275000,11.288333,11.048302,21631800
2013-08-20,11.336667,11.565000,11.296667,11.446667,11.203268,23305800
2013-08-21,11.345000,11.533333,11.155000,11.235000,10.996102,21271200
2013-08-22,11.300000,11.583333,11.300000,11.525000,11.279939,12231000
2013-08-23,11.638333,11.690000,11.476667,11.648333,11.400646,11165400
2013-08-26,11.688333,11.793333,11.500000,11.538333,11.292985,15267600
2013-08-27,11.173333,11.306667,10.935000,10.955000,10.722055,24510000
2013-08-28,10.946667,11.193333,10.905000,11.071667,10.836242,17110800
2013-08-29,10.998333,11.303333,10.978333,11.136667,10.899858,13306200
2013-08-30,11.198333,11.198333,10.925000,11.001667,10.767731,19504200
2013-09-03,11.338333,11.410000,11.033333,11.168333,10.930854,13979400
2013-09-04,11.186667,11.501667,11.118333,11.450000,11.206532,12337200
2013-09-05,11.463333,11.580000,11.443333,11.468333,11.224474,9240000
2013-09-06,11.603333,11.698333,11.181667,11.498333,11.253836,12861000
2013-09-09,11.593333,11.855000,11.593333,11.843333,11.591500,10235400
2013-09-10,12.051667,12.103333,11.970000,12.100000,11.842710,12928200
2013-09-11,12.048333,12.213333,11.985000,12.213333,11.953632,10153200
2013-09-12,12.205000,12.246667,12.065000,12.131667,11.873704,13406400
2013-09-13,12.155000,12.225000,12.071667,12.195000,11.935690,9697800
2013-09-16,12.590000,12.606667,12.348333,12.418333,12.154273,11931000
2013-09-17,12.440000,12.575000,12.438333,12.566667,12.299452,7068600
2013-09-18,12.555000,13.108333,12.461667,13.010000,12.733358,14314800
2013-09-19,13.116667,13.126667,12.901667,12.965000,12.689318,9356400
2013-09-20,13.030000,13.033333,12.640000,12.665000,12.395696,10863000
2013-09-23,12.615000,12.651667,12.373333,12.498333,12.232574,13500000
2013-09-24,12.490000,12.626667,12.336667,12.416667,12.152642,15914400
2013-09-25,12.418333,12.483333,12.261667,12.296667,12.041175,16382400
2013-09-26,12.351667,12.535000,12.293333,12.435000,12.176635,9056400
2013-09-27,12.241667,12.306667,12.165000,12.268333,12.013430,11345400
2013-09-30,11.946667,12.178333,11.875000,12.051667,11.801266,16457400
2013-10-01,12.090000,12.378333,12.063333,12.356667,12.099929,11278800
2013-10-02,12.128333,12.316667,12.015000,12.306667,12.050968,7212600
2013-10-03,12.221667,12.256667,11.801667,11.983333,11.734350,13656600
2013-10-04,11.998333,12.278333,11.950000,12.240000,11.985684,9927600
2013-10-07,11.915000,12.143333,11.883333,11.935000,11.687024,10609200
2013-10-08,11.920000,11.961667,11.483333,11.506667,11.267591,20441400
2013-10-09,11.573333,11.655000,11.305000,11.515000,11.275749,23209800
2013-10-10,11.876667,12.286667,11.868333,12.263333,12.008536,18297000
2013-10-11,12.215000,12.523333,12.185000,12.511667,12.251707,11262600
2013-10-14,12.281667,12.686667,12.245000,12.675000,12.411649,17080800
2013-10-15,12.555000,12.700000,12.331667,12.383333,12.126040,18484200
2013-10-16,12.601667,12.915000,12.583333,12.903333,12.635235,18241200
2013-10-17,12.741667,13.175000,12.735000,13.166667,12.893099,16824000
2013-10-18,13.306667,13.446667,13.220000,13.400000,13.121585,14685600
2013-10-21,13.435000,13.503333,13.333333,13.433333,13.154224,11336400
2013-10-22,13.541667,13.775000,13.483333,13.653333,13.369654,16390200
2013-10-23,13.516667,13.531667,13.316667,13.473333,13.193393,14828400
2013-10-24,13.535000,13.638333,13.445000,13.596667,13.314164,9566400
2013-10-25,13.678333,13.776667,13.595000,13.773333,13.487160,10744800
2013-10-28,13.765000,13.895000,13.716667,13.831667,13.544280,12423000
2013-10-29,13.926667,14.081667,13.876667,14.081667,13.789087,10287000
2013-10-30,14.116667,14.140000,13.700000,13.855000,13.567129,12604800
2013-10-31,13.820000,13.986667,13.666667,13.710000,13.425142,13203600
2013-11-01,13.788333,13.918333,13.596667,13.821667,13.534490,13376400
2013-11-04,13.953333,13.990000,13.811667,13.975000,13.684636,8380800
2013-11-05,13.803333,13.951667,13.676667,13.841667,13.554073,11451600
2013-11-06,14.021667,14.125000,13.900000,14.038333,13.746655,9253800
2013-11-07,14.133333,14.160000,13.473333,13.508333,13.227665,18871800
2013-11-08,13.501667,14.051667,13.498333,14.048333,13.756449,13885800
2013-11-11,14.025000,14.113333,13.971667,14.050000,13.758078,6058200
2013-11-12,13.980000,14.075000,13.841667,13.991667,13.700958,8357400
2013-11-13,13.778333,14.320000,13.776667,14.300000,14.002884,9807600
2013-11-14,14.348333,14.566667,14.285000,14.530000,14.228103,14127000
2013-11-15,14.600000,14.721667,14.550000,14.720000,14.414157,10168200
2013-11-18,14.793333,14.825000,14.466667,14.585000,14.281960,13990200
2013-11-19,14.538333,14.670000,14.393333,14.475000,14.174248,11169600
2013-11-20,14.561667,14.680000,14.210000,14.346667,14.048581,15802800
2013-11-21,14.456667,14.705000,14.423333,14.675000,14.370090,11366400
2013-11-22,14.693333,14.895000,14.638333,14.883333,14.574099,9853200
2013-11-25,14.968333,14.978333,14.783333,14.876667,14.567568,8703000
2013-11-26,14.870000,14.990000,14.791667,14.853333,14.544720,7890000
2013-11-27,14.906667,14.996667,14.851667,14.960000,14.649171,7645200
2013-11-29,15.013333,15.118333,14.885000,14.926667,14.616532,5383200
2013-12-02,14.965000,15.041667,14.750000,14.820000,14.512078,10282800
2013-12-03,14.676667,14.781667,14.483333,14.651667,14.347244,15447600
2013-12-04,14.458333,14.793333,14.278333,14.603333,14.299914,19669200
2013-12-05,14.536667,14.616667,14.388333,14.438333,14.138344,8940600
2013-12-06,14.838333,14.946667,14.716667,14.898333,14.588786,14560800
2013-12-09,15.033333,15.081667,14.960000,15.010000,14.698133,12593400
2013-12-10,14.915000,15.006667,14.831667,14.865000,14.556146,14066400
2013-12-11,14.871667,14.878333,14.303333,14.346667,14.048581,17988600
2013-12-12,14.335000,14.385000,14.121667,14.223333,13.927813,26670000
2013-12-13,14.295000,14.338333,14.121667,14.188333,13.893537,13840800
2013-12-16,14.408333,14.608333,14.396667,14.458333,14.157928,14565600
2013-12-17,14.511667,14.513333,14.235000,14.315000,14.017572,12031800
2013-12-18,14.401667,15.071667,14.010000,15.058333,14.745462,27123600
2013-12-19,14.935000,15.061667,14.820000,15.023333,14.711188,17462400
2013-12-20,15.058333,15.376667,15.050000,15.273333,14.955995,16732800
2013-12-23,15.490000,15.541667,15.398333,15.505000,15.182847,11193600
2013-12-24,15.513333,15.635000,15.511667,15.621667,15.297091,7195200
2013-12-26,15.731667,15.876667,15.716667,15.856667,15.527206,9197400
2013-12-27,15.925000,15.935000,15.796667,15.846667,15.517417,9830400
2013-12-30,15.855000,15.881667,15.775000,15.831667,15.502727,6781200
2013-12-31,15.908333,16.055000,15.866667,16.051666,15.718154,13616400
2014-01-02,15.868333,15.895000,15.486667,15.593333,15.269347,19390800
2014-01-03,15.670000,15.766667,15.521667,15.566667,15.243232,16942200
2014-01-06,15.735000,15.753333,15.376667,15.463333,15.142048,12538200
2014-01-07,15.631667,15.810000,15.601667,15.731667,15.404805,14185200
2014-01-08,15.725000,15.821667,15.583333,15.748333,15.421125,14127000
2014-01-09,15.888333,15.898333,15.558333,15.760000,15.432550,10450200
2014-01-10,15.856667,15.916667,15.610000,15.895000,15.564744,11634600
2014-01-13,15.776667,15.906667,15.171667,15.276667,14.959256,17604600
2014-01-14,15.418333,15.783333,15.328333,15.753333,15.426023,16036800
2014-01-15,15.863333,16.083332,15.848333,16.014999,15.682252,12063000
2014-01-16,15.920000,15.966667,15.800000,15.948333,15.616968,6763200
2014-01-17,15.873333,15.955000,15.666667,15.741667,15.414597,8967600
2014-01-21,16.014999,16.033333,15.590000,15.880000,15.550057,11041800
2014-01-22,15.970000,15.975000,15.808333,15.915000,15.584329,6089400
